Turn,Entropy,Ghost X position,Ghost Y position,Estimated X,Estimated Y,X bias,Y bias
0,3.2580327579798434,6.2,6.4,5.281972095801012,6.0950057702713645,3.1436055808397976,2.780998845945727
1,3.0108394103384186,7.0,6.2,6.3700438678765305,5.4856076091347825,3.074008773575306,2.7028784781730435
2,3.0804627731545264,7.0,6.0,5.325234298925543,5.750534185846046,3.134953140214891,2.0498931628307906
3,2.882640827528228,7.2,5.6,4.466324937870606,6.0723845330937944,3.906735012425879,1.985523093381241
4,3.1117895774905553,7.4,6.0,5.466574077371027,5.381480900731824,3.5066851845257943,2.5237038198536355
5,2.848629004963032,7.4,5.4,5.42777801223768,5.221031109185347,3.514444397552464,2.355793778162931
6,2.39232857305373,7.6,5.4,5.925438789708157,4.79671064008396,3.614912242058369,2.440657871983208
7,2.7126761492403366,7.6,5.2,5.295926760012877,4.911705880787634,4.140814647997425,2.217658823842473
8,2.261043179596928,7.4,5.2,5.508613008173968,4.618363658552279,4.298277398365206,2.028981804868633
9,2.5184896807843384,7.6,4.8,4.887373477651597,4.845191413869136,4.267575913409042,1.4928851516785184
10,1.9587681309695664,8.0,4.6,5.359542583945798,4.376325463746334,4.128091483210841,1.7247349072507334
11,2.5466950715364605,8.0,4.8,5.285396486966868,4.3299288180823385,4.542920702606627,1.9340142363835322
12,2.608202652057269,8.0,4.6,4.595954843007182,4.800846995982914,5.080809031398564,1.6398306008034171
13,2.55517889476324,8.2,4.2,4.482839394940121,4.8353949255156365,5.3034321210119755,1.6329210148968727
14,2.2326700535640835,8.2,4.4,4.180253643782933,5.050074590666352,5.363949271243413,1.8100149181332703
15,2.081091503427512,8.6,4.2,4.623460197677947,4.606915735873583,5.275307960464411,1.2786168528252833
16,1.748941198657856,9.2,3.8,5.136516481703516,4.148006738663935,5.3726967036592965,1.029601347732787
17,2.2769727622088647,9.6,3.6,5.174057728077459,4.038402663854862,6.165188454384508,1.2076805327709725
18,2.310212542815745,9.2,3.8,4.227711931287503,4.761375716650557,6.3544576137424995,1.0568254299903341
19,2.004040426906956,9.6,4.0,4.483816923130361,4.493526555285796,5.9032366153739275,1.0961159331714776
20,2.0308631835599518,9.4,4.4,4.028800785593336,4.903570840873463,5.794239842881333,0.6192858318253075
21,2.288145257201957,9.6,4.4,4.832069534807722,4.189545237050435,5.900758279115367,1.086272857769739
22,2.3510631801521877,9.8,4.8,4.327199282433413,4.64724286225627,6.003680430539953,1.2116542826462378
23,2.262750655850124,10.6,4.6,4.676234885424765,4.302478915851415,6.194259068745141,1.618512650489151
24,1.8811138486241181,11.2,5.0,5.069261601856533,3.923461848346141,6.158443038886081,2.2459228909923157
25,1.4903508663434084,11.6,4.4,5.5224650426334225,3.6267304298462193,6.286520974419946,1.8239617420922685
26,2.017575453538072,11.4,4.0,4.989151476429479,4.015087561695206,6.410848523570522,1.5969824876609588
27,2.2773057410503648,11.8,3.8,4.5337455566956075,4.1560017371036455,7.266254443304393,1.431200347420729
28,1.91178834703476,12.2,3.6,4.720000912521596,3.8981917968014144,7.479999087478404,1.579638359360283
29,1.1645423052957071,12.4,3.6,5.384798231285741,3.399466852645977,7.015201768714259,1.3201066294708046
30,1.685350424822016,12.2,3.2,5.886181995797554,2.940673300201385,6.313818004202447,1.411865339959723
31,2.1264721939317783,11.4,3.4,5.895492330070467,3.063985057072528,5.5045076699295326,1.2127970114145057
32,2.391252414245576,11.6,3.4,5.429206472497766,3.6353482825532986,6.342476116501341,1.3270696565106597
33,1.7346696143168454,11.0,3.0,6.556057740115511,2.574341300297068,5.466365355930693,1.055395219821759
34,1.9153081298690053,11.0,3.2,5.763037314128291,2.661419022358758,5.542177611523026,1.2031485865847453
35,1.7243995258108513,11.2,2.8,6.355365625131243,2.2785464374302875,5.386780624921255,0.8557092874860576
