Turn,Entropy,Ghost X position,Ghost Y position,Estimated X,Estimated Y,X bias,Y bias
0,3.049429700408147,8.4,3.4,7.706874031509339,5.6987630549824475,2.341374806301868,3.619257832989468
1,2.486978411671113,8.8,3.6,8.391599156129264,5.3571390855277485,1.8349594936775582,3.214283451316649
2,2.410199303603962,8.8,3.8,9.623328439017454,5.149899668708445,2.5739970634104727,2.8899398012250668
3,2.3894222001422505,9.8,3.8,10.940470045408048,5.060304171323399,2.764282027244829,2.8361825027940393
4,2.3297059285900286,9.4,4.0,11.90422255488852,4.793682967189947,3.342533532933112,2.9587365934379894
5,2.1489645383167386,9.4,4.2,12.650817172487319,4.636707937362652,4.190490303492391,2.72734158747253
6,2.545989660376378,9.8,4.0,11.750450457774882,4.79519844690852,3.650270274664929,2.959039689381704
7,2.9660796263438107,9.2,4.0,10.085221878036663,5.340326668912259,2.8511331268219977,2.804196001347355
8,2.758321356579929,9.2,3.8,10.074863289628327,5.319311321267321,2.444917973776996,2.591586792760393
9,2.1887884926544015,9.4,3.4,11.148643633411197,5.158599098742705,2.8891861800467185,2.495159459245623
10,2.4322663508559828,9.4,3.2,10.707390725516786,5.5940201898209425,2.741478145103357,2.956412113892565
11,2.7377861143952464,10.2,3.4,10.824949913192048,5.476433321046231,2.4350100173615905,2.685859992627738
12,1.964785140375351,10.2,3.2,12.166103096897833,5.28195001131782,2.2996618581387,2.769170006790692
13,1.6849751230455567,11.0,3.4,13.10765537759313,5.173538424077428,2.4645932265558788,2.504123054446457
14,2.466918804643859,11.0,3.2,11.925159957798996,5.153466741855332,1.7850319915597992,2.2920800451131997
15,2.704979791471193,12.0,3.2,11.694853571888334,5.2446431337933035,1.7830878568669994,2.346785880275982
16,2.524917090218411,12.8,3.4,12.504894683638645,5.013861412650135,1.6970631898168134,2.402772282530027
17,2.1760195535810527,13.2,3.2,13.033217412896127,4.893395953165072,1.7933565174207746,2.1786791906330145
18,2.3792331625145255,13.8,3.2,14.309613702055042,4.686384196718022,1.7380772595889915,1.7372768393436044
19,1.9900422723548092,14.4,3.6,15.475762575891427,4.485428431025679,1.7048474848217148,1.9029143137948643
20,2.384102657365444,13.6,3.8,15.622470565242963,4.555051850647435,2.0224705652429633,2.0889896298705133
21,2.2364355917063437,14.0,3.6,16.12603603722245,4.440828185639596,2.1260360372224483,1.9118343628720809
22,2.183399780562795,14.0,3.4,14.91906349344774,4.32836438266728,1.8161873013104521,1.865672876533456
23,1.1962170905422023,14.8,3.6,14.649210466560598,3.610943502408625,1.8701579066878804,2.0778112995182747
24,2.0937383979388415,15.0,4.0,17.557841512562373,5.122262244133412,2.7347049075374237,2.224452448826683
25,2.5014741480976457,15.2,3.6,16.744518397089724,5.216220254059092,2.148903679417945,2.3297321524354553
26,1.8741914634071157,15.6,3.4,14.176597031379766,4.232710823199249,3.164680593724047,2.2465421646398496
27,2.2429547323929397,15.6,3.6,13.682953084551864,4.34185736247803,3.6634093830896277,2.068371472495606
28,1.8495671299209913,15.6,3.4,14.1807929993144,4.0023098262614,3.5638414001371204,1.8004619652522798
29,2.2122356630187903,15.8,3.8,13.680579862734817,4.177552340543764,3.0638840274530366,1.8355104681087528
30,1.878306666953581,15.4,3.6,13.938474134299446,4.0145562534521115,3.4123051731401106,2.0029112506904223
31,1.0683418914406955,15.8,3.8,14.58253978416489,3.646474500899294,3.6834920431670213,1.870705099820141
32,1.8287687349353632,15.4,3.6,15.211744712397868,4.322920043105065,3.157651057520426,1.6645840086210129
33,1.9334345603205914,15.6,3.2,13.410362322609782,3.928812683078106,4.117927535478043,1.5857625366156212
34,1.6311847508295254,15.8,3.6,14.369933826697041,3.6440967910852478,3.3260132346605915,1.5288193582170497
35,1.2755473814518656,16.0,3.6,17.65966954203742,4.997612772487751,2.868066091592516,1.7995225544975504
36,1.1612946980130048,16.4,3.4,18.572930333543955,5.138697360241793,2.514586066708791,1.7386973602417932
37,1.396571122720552,16.6,3.4,18.10987461965933,4.391390964449524,2.221974923931866,1.478278192889905
38,0.29874579417322694,16.8,3.4,17.111678369861863,1.2527554592882748,2.5776643260276275,2.349448908142345
39,1.1179692843175568,16.6,3.8,16.709492983735057,1.5739869900218486,2.0581014032529885,2.68520260199563
40,1.6651910639444576,16.6,3.6,16.454528978287197,2.3346184748940746,2.1090942043425605,2.333076305021185
41,1.0809996755177431,16.8,3.6,16.576083332674038,1.6159340170314338,1.8847833334651924,2.23043958978114
42,1.7158477837613808,16.6,3.6,16.39511799306443,1.8541291763756376,1.8790235986128863,2.087522494174617
43,1.0824727601545123,16.6,3.8,16.57275333014569,1.5153267627789742,1.5145506660291381,2.696934647444205
44,1.4865430358053044,17.0,3.6,16.80842509310667,1.4958916741626747,1.7149449441359976,2.5008216651674653
45,0.5657131538847031,16.8,3.6,18.14166056172501,1.1799128212749046,2.0283321123450024,2.492052307235057
46,1.4225044473630397,16.8,3.4,17.347522665822424,1.6708635704994788,1.8695045331644848,2.2658272859001043
47,1.3874738785097929,15.8,3.4,16.53532202354056,1.7259544283396147,1.9070644047081118,2.254809114332077
48,1.674332342267046,16.0,3.4,16.416994447344912,1.7092749976923565,2.0833988894689823,1.9744350013845864
49,1.556439998234901,16.0,3.6,15.908908646571216,1.7125543207032607,1.6182182706857564,2.172467407578044
50,1.5361405886358346,16.0,3.4,16.073590850224498,1.668693463206391,2.0147181700448997,1.9987839220761656
51,1.1041345850858226,15.8,3.4,16.576431167518876,1.4934600187116778,1.9152862335037752,2.3013079962576644
52,0.8408724482720882,16.0,3.4,17.355324043203332,1.3413924996525097,1.8710648086406665,2.1951645002084943
53,0.542133323010511,16.4,3.2,18.182847508568557,1.1906375918392254,2.109708505141134,2.0856174448964646
54,1.304366816142734,15.6,3.4,18.067463523610748,1.4845465615427373,2.4674635236107476,2.1092720630743576
55,0.833607776833612,15.8,3.4,18.43035813238943,1.38385072556119,2.8582148794336577,2.169689564663286
56,0.9447371469539194,15.6,3.0,18.79665552378787,1.177214599079786,3.2779933142727216,1.9645570801840428
57,0.97452401197618,15.6,3.2,18.479121439450008,1.507433132972417,3.087472863670005,1.8955401202165496
58,0.4627096476990009,15.4,3.2,18.930329450784633,1.069472047625129,3.5303294507846332,2.1583167714249227
59,1.8635539128059844,15.6,2.8,17.693366520957607,1.9718522218114543,2.738673304191521,1.6056295556377091
60,1.6611183483544287,16.0,3.0,16.52003378960007,2.1931189087737875,2.5040067579200143,1.7613762182452426
61,1.2736089891761886,16.2,3.0,16.846273455248575,1.8665674280069613,2.369254691049715,1.4800595431958232
62,1.648303227953192,16.0,3.0,16.326190648386707,1.918705964313603,2.065238129677341,1.448776421411838
63,1.403371980703968,16.2,3.8,16.82176745754326,1.6306097291827946,1.964353491508652,2.421634162490323
64,1.7215840783020735,16.0,3.8,16.498727334635543,1.7022040531425902,1.6997454669271086,2.3786775681144463
65,1.2449270151319263,16.2,3.8,16.489655364146063,1.596508052879837,1.0979310728292127,2.4420951682720977
66,1.6465017512954951,16.8,3.4,16.796532828001542,1.5337568963274133,1.1220803031990747,2.2932486207345173
67,1.4625768805997683,16.6,3.8,16.838037103496454,1.5078383774653232,1.1676074206992908,2.495296973520806
68,1.7065894437187041,16.0,3.8,16.65734755475407,1.5846313323470367,1.594408532852443,2.449221200591778
69,1.4035152619082767,16.4,4.0,17.722614464149153,1.3056285800178657,1.4335686784894919,2.8166228519892806
70,0.9352280742257706,16.2,3.6,18.671802072271525,1.103661672282483,2.603081243362915,2.5792676655435036
71,1.7715145600791806,15.8,3.8,17.6969934747544,1.625492356412894,2.01819608485264,2.674901528717421
72,1.435774849647464,16.6,4.0,17.55372646279316,1.62171146718697,1.3107452925586323,2.875657706562606
73,1.5799475620389238,16.2,3.8,17.020953213096863,1.777021690804186,1.212571927858118,2.644595661839163
74,1.1563084271210782,16.8,3.8,17.579517520392944,1.547661160268047,0.9477105122357663,2.6904677679463904
75,0.7461918201859713,17.2,4.4,18.30437465580987,1.2931883151772159,1.1043746558098697,3.341362336964557
76,1.4143624041104894,16.2,4.4,18.009788667786967,1.6540631120099643,1.8097886677869675,3.269187377598007
77,1.3055317112376725,16.4,4.4,18.209283362730485,1.5353975216070144,1.809283362730485,3.2929204956785973
78,1.4859103256615631,16.4,4.2,18.058168816892547,1.6742782261982296,2.034901290135528,2.7954330642810623
79,0.843868079490887,16.4,4.4,18.459059485597994,1.4339840464578246,2.059059485597994,3.139609572125305
80,1.3145085311500386,16.6,4.0,18.001795635879382,1.8899585014818236,1.8010773815276295,2.466024899110906
81,0.8644247823687559,16.6,3.8,18.503706105713572,1.4678805219756634,1.9037061057135722,2.519271686814602
82,1.2493965433285688,16.6,3.6,17.98540458250869,1.9686759297939251,1.397080916501738,2.018794442123645
83,0.9429641592818543,17.0,3.4,18.453119626126334,1.5322496495794633,1.6718717756758004,2.0806502102523217
84,1.3302929767936034,16.8,3.8,18.00643138764401,1.9357868404635468,1.6038588325864063,2.2385278957218717
85,1.4557229838867576,16.4,4.0,17.277725326280237,2.129908352155991,1.5666351957681421,2.374018329568802
86,1.7663230434000716,16.2,3.6,17.455932388616723,1.9039002085525794,1.4735594331700341,2.057659874868452
87,1.8075966864439503,16.4,3.6,17.300845570590667,1.7734434898113318,1.1805073423544001,2.135933906113201
88,1.804946274345794,16.2,3.6,16.47198815286585,1.9190890992716447,1.3056023694268297,2.416182180145671
89,1.224668046111685,15.8,3.8,16.72256480003419,1.6784760023754088,1.433538880020513,2.6643047995249183
90,1.7158708070139255,16.2,3.6,16.48242080486111,1.7208963304309102,1.303515839027778,2.167462201741454
91,1.1464288682950807,16.2,3.0,16.55880862488067,1.5874386634749493,1.1117617249761338,1.8825122673050103
92,1.6761176031150273,16.0,3.8,16.500076558282274,1.6275336313158764,1.3000153116564548,2.1724663686841237
93,1.2784749971332565,16.2,3.8,16.422178614325734,1.5752227481939565,1.084435722865147,2.2247772518060436
94,0.8332169696325845,16.6,3.6,17.332226676466515,1.3497247890885786,1.666445335293303,2.250275210911421
95,1.26245991768337,16.8,3.6,16.823124237287544,1.6499758165619913,1.1061254576274735,1.9500241834380092
96,0.9168267549369207,17.0,3.2,17.434535690848293,1.432483719197991,1.2869071381696586,2.113503256160402
97,1.2486053709486018,16.8,4.0,16.864521586830328,1.7247509011088014,1.4270956826339343,2.5651494593347195
98,0.9509250535491189,17.0,4.0,17.475276135154356,1.4866574355010111,1.9049447729691287,2.7080055386993935
99,1.384277852703758,16.8,4.0,17.750998032683796,1.4429325468197536,1.6498003934632408,2.734240471908148
100,1.293786437917931,16.4,3.8,18.062933890917492,1.384563918449881,1.662933890917492,2.569261648930071
101,1.2761284618680386,16.6,3.8,16.968000745105858,1.8432851130469714,1.2191995529364852,2.294028932171817
102,1.0321087739785098,16.6,4.0,17.588400688530772,1.5686608253813659,1.7176801377061544,2.65880350477118
103,0.6483094159710857,16.8,4.0,18.30381744082948,1.3075021050152988,1.782290464497688,2.8154987369908206
104,0.06648251475767324,16.8,3.8,18.988832602001665,1.0076014054591227,2.197766520400333,2.798479718908175
105,0.7093868762219823,16.2,3.8,18.497037201114196,1.5003689212080544,2.297037201114196,2.6999262157583894
106,0.06942514855757675,16.4,3.8,18.989656329105724,1.0102959534257245,2.5937937974634346,2.797940809314855
107,0.6946875177701337,16.4,4.0,18.500121012708956,1.5000698466338893,2.3000726076253732,2.699958092019666
108,0.06541686940463239,16.6,4.4,18.990245865142676,1.0097558463973122,2.398049173028535,3.3941464921616125
109,0.6940409680615153,16.6,4.2,18.500029613676368,1.5001522257309374,2.3000059227352736,2.8999086645614374
110,0.026947444787522846,16.4,3.8,18.9965021630438,1.0034983156689756,2.60069956739124,2.799300336866205
111,0.6933744816933737,16.4,4.4,18.50004808818945,1.5000295643885844,2.5000096176378896,3.0999822613668493
112,1.321611790896028,16.0,4.2,18.17465951106031,1.8254042404279367,2.8349319022120616,3.034919151914413
113,1.3443211072893069,15.8,4.2,17.363591384939642,2.1537902861789098,2.4727182769879286,2.5692419427642177
114,1.1327428604225576,16.4,4.2,17.850056114955674,1.8588564968390542,2.429988777008865,2.6846861018965673
115,1.2455858936790145,16.6,4.6,17.101121441779124,2.0523903028416863,2.379775711644175,2.5685658182949878
116,1.095046064196449,16.6,4.8,17.7198026198777,1.7367926499811843,2.2560394760244598,3.063207350018815
117,1.3974997810339296,16.4,4.4,17.134275472591625,1.896008257617725,2.173144905481675,2.503991742382275
118,1.5517763216682752,16.8,4.2,17.29998750689112,1.7506381175520045,2.0200074958653276,2.449361882447996
119,0.6723720021299395,17.2,4.0,18.338471483003985,1.3466338049952167,1.9323057033992028,2.653366195004783
120,1.304592429979249,17.0,4.4,18.046292566189447,1.689331338790097,2.1907414867621107,2.710668661209903
121,1.4968640138881248,16.6,4.2,17.37000901846772,1.9633380823857611,2.325998196306456,2.236661917614239
122,1.7156021528565564,16.6,4.8,17.14752094069346,1.916584970226379,2.370495811861308,2.8834150297736203
123,1.0563932096752633,16.2,5.0,18.225307708200997,1.4419935651926858,2.3351846249205983,3.5580064348073144
124,0.0683826441268205,16.4,4.6,18.987312460886116,1.008057765746104,2.5923874765316697,3.595165340552337
125,0.7074818996821846,16.6,4.2,18.49639690915127,1.5001382893401,2.097838145490761,3.09997234213198
126,0.12158339608400555,17.0,4.0,18.979375074364807,1.0204872688467472,1.9958750148729614,2.9959025462306506
127,0.6955057291996183,17.2,4.4,18.499889650371905,1.5003772737407726,1.6999779300743811,2.8996227262592273
128,0.9618751992163693,17.4,4.4,18.67874598124894,1.321278431190697,1.5357491962497882,3.2072329412855822
129,0.7038031010674102,16.8,4.0,18.50202625198123,1.5047084655377947,1.7020262519812313,2.899058306892441
130,1.3317766780106508,17.0,4.0,18.330048262057158,1.6737574846544345,1.5980289572342947,2.5957455092073394
131,1.24283742642059,17.2,4.0,18.268607567865352,1.6450346568313872,1.3611645407192114,2.612979205901168
132,1.3476904936282235,17.0,3.6,18.110954866866,1.773344419222529,1.4665729201195994,1.8266555807774716
133,0.6963980011876822,16.8,3.6,18.48364196306961,1.4844580056850583,1.6836419630696084,2.309325196588965
134,1.1169589693664272,16.2,4.0,18.001244206570867,1.966043300812709,1.801244206570867,2.4203740195123746
135,0.7760934890351269,16.8,4.0,18.485551024488682,1.5154422209764595,1.6855510244886822,2.6907346674141244
136,1.3429443664055247,16.2,4.0,18.294665256868015,1.6974347166607697,2.094665256868015,2.860513056667846
137,0.7025832104975072,16.6,3.8,18.50539250276892,1.507744825906451,1.9053925027689202,2.4953531044561292
138,0.008259642236866115,17.0,3.6,18.999091649903423,1.0009194597225246,1.9998183299806847,2.599816108055495
139,0.6932170588555009,17.2,3.6,18.500005990427656,1.5000162912105428,1.5000035942565937,2.2999902252736746
140,1.2494044145064112,17.8,4.0,18.090569467204986,1.9094468416470083,1.3818861065590027,2.454331895011795
141,1.3350559839177591,17.4,4.6,18.198190980434006,1.6868518246992104,1.1189145882604037,3.187888905180474
