Turn,Entropy,Ghost X position,Ghost Y position,Estimated X,Estimated Y,X bias,Y bias
0,3.0819013560038337,11.4,7.2,3.8904503176673897,7.082699487819236,7.50954968233261,2.2165398975638473
1,3.057546134258698,11.8,7.0,5.210586993616819,6.355908197697824,6.673647803829908,2.2711816395395648
2,2.7297188775973664,11.2,7.0,3.9779557403068653,6.841737740582398,7.222044259693135,2.3683475481164797
3,2.8704092368878644,11.6,7.2,4.892480710684473,6.287839570583936,7.064511573589316,2.0575679141167873
4,2.963344650435328,11.8,7.6,4.37987457861375,6.494207685047155,7.57207525283175,1.9011584629905691
5,2.9702057499916945,11.2,7.2,4.035951828945913,6.6739959467759125,7.578428902632453,1.865200810644818
6,2.9373968210737336,11.4,7.2,4.706404059893403,6.1146358659141,6.976157564063958,1.9770728268171802
7,2.6961660168888764,11.4,7.0,5.9974478622804455,5.873953876820124,6.601531282631733,1.8252092246359752
8,2.944596091044614,11.2,7.4,5.756135255340154,6.0407559742122405,6.5463188467959075,2.191848805157552
9,2.8503289382978036,11.6,7.2,5.854798337694726,6.001844305637455,6.887120997383164,1.999631138872509
10,2.9758242815116955,11.4,7.2,5.729028843481395,6.090793412321793,6.762582693911163,1.5818413175356414
11,3.0392118576218636,11.2,7.2,5.4838142788026305,6.219936662575808,6.7097114327184215,1.9560126674848384
12,3.000803453865195,11.6,7.8,5.738656614144811,6.173630017561856,6.956806031513113,2.165273996487629
13,2.7944823946571833,11.2,7.2,6.5135319760341615,6.03088811977194,6.091880814379502,1.9938223760456117
14,2.850902644892237,11.2,7.4,5.407430633949511,6.21377511240178,6.3555416196302925,2.157244977519644
15,3.0507948586196707,11.6,7.6,5.548731379756246,6.188318300628648,6.270761172146253,1.9623363398742704
16,2.9618435759514594,11.8,7.2,6.041682964760556,6.101692183493811,6.574990221143667,1.979661563301238
17,2.650291743956258,12.4,6.8,6.791342921278246,5.997271270431222,6.725194247233051,2.0005457459137554
18,2.8821686786479495,12.4,7.0,6.831689116800002,6.081404584895651,6.70098652992,1.7837190830208698
19,2.6450641233966636,12.2,7.0,7.855776948119247,5.9648569279441634,5.886533831128452,1.821085843233502
20,2.7183221808113873,11.8,6.8,7.8317115364113565,6.458563737714796,5.900973078153186,1.9082872524570405
21,2.572376199577165,11.8,6.6,8.560305047496392,6.261912277111545,5.863816971502165,1.747617544577691
22,2.436738054624098,11.8,6.8,8.27362501469465,7.106879253867828,6.03582499118321,1.0641275523206963
23,2.612613944713271,11.4,6.6,9.056107269915683,6.297372440436621,5.566335638050591,0.9405255119126759
24,2.634860930636486,11.2,6.6,8.705988386568153,6.537237326722382,5.576406968059108,1.2925525346555236
25,2.5991925837170493,11.0,6.6,8.94592955724672,6.151720353199827,5.232442265651969,1.7089677880801042
26,2.592236637073572,11.4,6.8,9.295517000516199,5.749433554639218,5.022689799690281,2.150339867216469
27,2.6091902141518966,11.6,6.8,8.771329171367492,5.660959710837735,5.537202497179504,1.8034241734973588
28,2.2672145585063785,11.8,6.4,9.296857873553137,5.298502891623564,5.021885275868118,1.7402994216752874
29,2.2954425812689965,12.0,6.4,10.704404864501528,5.627511929469889,4.377357081299083,1.0234928423180667
30,2.915978058414685,11.8,6.8,10.795007363768962,5.805804340523233,4.122995581738623,1.3165173956860603
31,2.405838436278492,12.0,6.8,8.832564252336955,5.7049102043433155,5.1004614485978275,1.0950897956566845
32,2.1349214938873513,11.6,7.0,8.007424862776354,5.887381509358698,5.1955450823341875,1.1126184906413021
33,2.2769987947988892,12.0,7.6,8.535208683701976,5.526664641871614,5.278874789778814,2.073335358128386
34,2.0775276671475025,11.6,7.8,7.992365116281259,6.042132558165286,5.604580930231244,1.7747204651008281
35,2.182551426220128,11.6,8.0,8.505095994641605,5.5766324720090035,5.498980801071679,2.4233675279909965
36,2.3031837705649307,11.6,7.4,6.359573985368035,6.176982368131136,6.584255608779179,1.3646035263737728
37,2.201669371494064,11.4,7.8,5.864601614486077,7.022960491742734,6.681239031308354,0.7954079016514534
38,2.618044560626209,11.2,7.4,5.285146802688658,6.943418274185333,6.542970639462268,0.8339490354888
39,2.475570666240047,11.4,7.4,5.5845432669785335,6.799645512668579,6.683091346604293,0.6003544873314205
40,2.870189415847588,11.4,7.6,4.414195131549054,7.075059154766457,7.151482921070567,0.9849881690467086
41,2.9077338057589635,11.2,7.2,5.165956719334807,6.808746777740081,6.900425968399115,1.0382506444519837
42,2.837410894537554,11.4,7.2,3.9173034110309843,7.2938468655231405,7.84961795338141,0.6587693731046281
43,2.7381803018678386,11.4,7.4,3.939765333035132,7.070933170694872,8.236140800178921,0.41418663413897433
44,2.983418766473467,11.0,6.8,3.903945459908626,7.166973809613867,8.257632724054824,1.0333947619227737
45,3.0397703657503614,11.2,6.8,4.790472163869494,6.5898987615434805,8.241905567226102,0.6820202476913039
46,2.934372875803245,11.2,6.6,4.290979302302029,7.07244131109155,8.341804139539594,0.8434647866549307
47,3.0460321300967985,11.4,7.0,4.109671417339052,7.012001008927383,8.17806571653219,1.2024002017854767
48,2.5573748375521315,11.2,7.0,3.3283280128556263,7.856943131320664,8.403003192286624,1.7141658787923983
49,2.680262831712664,10.8,6.8,3.595067130341577,7.729350239527461,7.842959721795054,1.9458700479054927
50,2.6957199743770417,10.6,6.4,4.0680822748366925,7.3614178259980765,7.386383545032662,2.016850695598846
51,2.948746408307497,11.2,6.4,4.399085671868121,7.010164541480822,7.7605485968791275,1.8060987248884934
52,2.918075747056044,11.6,6.6,4.960121218812284,6.571937357648343,7.42392726871263,1.914387471529669
53,2.7131957604754997,11.6,6.4,4.745087348782959,6.750693183666773,7.952947590730224,1.7501386367333545
54,2.458218722430718,11.8,6.4,5.446187776485408,6.429473730715076,7.732287334108756,1.5141052538569848
55,2.6126268131537222,12.0,6.4,6.459631176951449,5.986002882775132,6.92422129382913,1.6083982703349207
56,2.4966705886651757,12.2,6.4,5.684237956531084,6.445410459184005,7.189457226081349,1.9109179081631993
57,3.0054043780216415,12.0,6.8,5.354092848554643,6.547429031235478,7.187544290867214,1.8905141937529044
58,2.6064127322087347,11.6,6.6,4.374968351265824,7.081651996339476,7.775018989240505,1.648991197803685
59,2.8306372659540324,10.6,6.6,3.993330289542924,7.336920187752028,7.404001826274245,1.802152112651217
60,2.120711965575795,10.4,6.6,3.2725948803892564,8.067773408723658,7.2364430717664465,1.840664045234195
61,2.1946968496123658,10.0,6.8,3.702686519026745,7.660863003789858,6.578388088583952,1.796517802273915
62,2.025508496366927,9.6,7.4,3.2537456301000773,8.094004847409929,6.447752621939953,1.4564029084459573
63,1.493552498102058,9.4,7.0,2.6367354755593366,8.630682651260805,7.017958714664397,2.178409590756483
64,0.8654957418712073,9.2,7.4,2.137423548950244,9.083302101683499,7.517545870629853,2.049981261010099
65,1.4043168478622192,10.0,7.2,2.6121956035921214,8.609800145584051,7.632682637844728,1.9658800873504307
66,1.6563310637388509,10.0,7.4,3.119812069799488,8.099277808961869,6.928112758120308,1.8198555617923737
67,1.4293898366341375,9.8,7.4,2.59759368404962,8.584749299820041,7.2024063159503795,1.6830501400359918
68,0.7798937154932225,9.6,7.4,2.0956727447223886,9.066869313211782,7.504327255277611,2.0401215879270693
69,1.402969660971643,10.0,7.6,2.583550466724309,8.578674044411512,7.416449533275691,1.7157348088823023
70,0.7577829472320249,10.4,7.8,2.091576277488477,9.070553231075293,8.308423722511522,2.0141106462150584
71,1.3841037853880034,10.6,7.8,2.5809868491953667,8.5809932195594,8.019013150804634,1.6838013560881202
72,1.4118134554208412,10.4,7.8,2.30241464118853,8.859492152099897,8.097585358811468,2.028101569580021
73,1.442466581179772,10.2,7.8,2.58925143273751,8.569430272099483,7.61074856726249,2.25834183674031
74,1.8625823582988121,10.0,7.4,2.6397767669431578,8.517967725474689,7.360223233056843,2.096406454905062
75,2.190440298255467,9.6,7.6,3.32609286793864,7.8386978932963896,6.404344279236815,2.4967812640221663
76,1.8084481307500009,9.4,7.2,3.115253946487752,8.035047093386739,6.330847632107349,2.407009418677348
77,1.9270217930590963,9.0,6.6,3.6102969734439094,7.554056798332553,5.877940605311219,2.110811359666511
78,2.005130477667487,9.4,6.4,4.050945721173028,7.1221746512539825,5.789810855765394,2.6244349302507963
79,2.144208384188731,9.4,6.2,4.537443584301538,6.645625469214231,5.692511283139693,2.729125093842846
80,2.019804560162864,9.2,5.8,5.114127338742376,6.224000093999543,5.777174532251524,2.2448000187999084
81,2.3905276472376,8.6,5.8,4.793165227596661,6.495214201174761,6.041366954480668,2.6990428402349522
82,2.336566770561501,8.8,5.8,4.2253100963383154,6.921840993414821,6.354937980732337,2.7843681986829645
83,2.6055807800097828,9.4,5.8,4.172039067065705,6.932432558823066,6.565592186586859,2.3864865117646135
84,2.246901335355834,9.8,6.0,3.9411308927429203,7.110678545995773,6.235321464354248,2.6221357091991546
85,2.3486962771858813,9.6,6.0,3.740323387758033,7.338749672081417,6.555805967345181,2.667749934416283
86,2.034546683790056,9.8,5.6,3.1809378323825124,7.922233916504842,6.6914373005704935,2.3844467833009686
87,2.440443176698784,9.2,6.0,3.8155398421955753,7.274946194312248,5.710676094682656,1.8549892388624496
88,2.085690268583037,9.0,6.0,3.2012466667743675,7.893369086779164,6.27925199993538,1.9360214520674988
89,1.986874284960194,8.8,5.6,2.75637433193239,8.326344126353407,6.746175400840565,2.7263441263534065
90,0.8525560262224975,9.0,6.0,2.062014992462544,9.002777187150352,7.362791004522474,3.002777187150352
91,1.3970388127746673,9.0,6.2,2.533590031114036,8.530755964825037,7.0798459813315775,2.3307559648250367
92,0.8221512710236858,9.2,6.6,2.0551152310117793,9.009083094387053,7.566930861392933,2.409083094387053
93,1.3879153539308031,9.0,6.2,2.532253610223515,8.531818982775077,6.680647833865892,2.519091389665046
94,1.6510133964006761,9.2,6.2,3.0082362279302295,8.05583337600506,6.1950582632418625,1.8558333760050598
95,1.4697433015118282,9.0,5.8,2.542693465958968,8.51054999078064,6.674383920424619,2.9063299944683845
96,1.614443675929141,8.8,5.8,3.0262165544966995,8.02694323362769,5.78427006730198,2.6161659401766144
97,1.7910463555181337,8.8,6.0,3.538509117477054,7.520124326280296,5.876894529513767,2.3040248652560593
98,2.117263567410794,8.4,6.2,3.928991663470408,7.132105333151815,4.842605001917756,2.426421066630363
99,1.9573720282055482,9.0,6.2,3.502307082269364,7.553566185949039,5.698615750638381,2.5107132371898078
100,1.95526767981733,8.8,6.2,4.018977275372149,7.04246037521699,5.19620454492557,2.008492075043398
101,2.0806879061768866,9.0,5.8,4.505940214107899,6.559568342001735,4.696435871535261,2.0880863315996527
102,2.448357796001873,9.2,6.2,4.300853713275796,6.751513504474147,4.899146286724204,2.0496972991051705
103,2.4201679942569476,9.2,5.6,3.7802710034425386,7.224408476042376,5.419728996557461,1.9346450856254254
104,2.184559856289899,8.6,6.0,4.054488293302432,6.938119107206177,4.610897658660487,1.437128535676294
105,1.8798367849273192,8.8,6.4,3.5027658229082617,7.493482947505913,5.297234177091737,2.1013034104988173
106,2.070569905450002,9.2,6.6,3.9517320938547384,7.038435482214419,5.248267906145261,2.0076870964428837
107,2.5124165589687504,9.4,6.6,3.8493403103178694,7.1432163749309625,5.5506596896821305,1.9713567250138078
108,1.8660181677361911,9.0,6.4,5.082991734699671,6.0856191785287,4.783401653060066,2.34862849288278
109,2.075045285993161,9.0,6.6,4.479995448573045,6.466570713115968,5.112002730856172,2.3200575721304197
110,2.5538089249926452,9.0,6.0,4.68335701502767,6.387770732032094,5.263328596994466,1.9224458535935809
111,2.2295039559635157,9.6,6.0,4.417951305096957,6.432242323285623,5.749229216941826,2.0864484646571246
112,2.283821026104958,9.4,6.0,3.9978455147099594,6.776934077954737,6.201292691174023,1.755386815590947
113,2.2012740889794604,9.2,6.4,4.332324846155528,6.342944907287662,5.800605092306684,2.194233055627403
114,2.451871309623126,8.8,6.2,4.051584278366502,6.613929281845516,5.5896831443267,2.0772141436308966
115,2.5295998585447115,9.2,6.0,3.686588872587895,6.983224506065033,5.788046676447264,2.1966449012130065
116,2.2938641361883727,9.6,5.8,3.1838024185966822,7.617859534056967,6.416197581403317,2.5235719068113935
117,2.4227503028245287,9.2,5.6,4.146271130634674,6.442667367032851,5.112237321619196,2.4885334734065703
118,2.5807130108535565,9.0,5.2,4.1936513566860985,6.433157824071148,4.883809185988341,2.4866315648142296
119,2.0466135078402035,9.4,5.0,5.623798146981467,5.73658665841968,4.275240370603706,2.947317331683936
120,2.0101126577705846,9.4,5.6,5.013695700866774,6.0004413160469525,4.397260859826646,2.4000882632093905
121,1.9748133700475308,9.0,5.8,5.815484820160312,5.784599429657515,4.563096964032062,2.156919885931503
122,2.5351586882339716,8.2,5.6,4.63152756136999,6.288996650059928,4.326305512273999,2.457799330011986
123,2.162049435332022,7.6,5.6,3.4175940893982117,7.184516195051886,4.6835188178796425,2.3107097170311315
124,1.7783999661575902,7.2,5.8,2.894415619476125,7.8063783923218635,4.663350628314325,2.083827035393118
125,1.8823996196390032,6.8,5.6,3.3252883928865735,7.350792949136659,5.065057678577315,2.0104757694819955
126,2.349754612201512,6.8,5.0,3.625086784738529,7.039693113945555,5.525017356947705,2.4238158683673325
127,2.0085583259658817,6.6,4.6,3.3818816952012747,7.309949535502531,5.676376339040255,2.709949535502532
128,2.1158365453151733,7.0,4.8,3.0417886549680504,7.697290375671902,6.008357730993611,2.897290375671902
129,2.1481961342027227,7.4,5.0,3.2259223409009214,7.515585457698139,5.645184468180185,2.709351274618883
130,1.8453983725502205,7.8,4.8,2.835152750190579,7.954337346332343,5.298908349885653,3.172602407799406
131,1.9728043592071427,7.4,5.4,2.6229491770409528,8.205302460577743,5.026230493775428,3.1231814763466454
132,1.9311261979195486,7.0,5.2,2.6697045675043385,8.177074144299354,5.266059086499132,2.977074144299354
133,1.8780463969984862,7.2,5.2,2.5924210005901647,8.273273421647398,5.481515799881967,3.0732734216473974
134,1.860938902085905,7.2,5.4,2.7946128524135516,8.07808661108765,5.44107742951729,2.6780866110876507
135,1.7711411620768351,7.2,5.2,3.4230420936973607,7.435835338713455,4.915391581260527,2.2358353387134544
136,2.0766893634703107,7.4,4.8,3.1004256683921776,7.773107365102047,4.7799148663215645,2.973107365102046
137,2.1852509481168187,7.0,5.0,3.557990791790208,7.303619117214778,4.288401841641958,2.3036191172147777
138,2.508497958324613,7.6,5.0,4.3379065204994385,6.542650408440908,4.4675813040998875,1.9085300816881812
139,2.55076657113842,7.2,5.2,3.8652673223710172,6.986963479311934,4.8269465355257966,1.7973926958623871
140,1.708062885052279,7.2,5.4,2.966059876656871,7.9266976313730755,4.620364074005877,2.556018578823845
141,2.2243702995163024,7.0,5.8,2.8759247538744996,8.030853410991313,4.8744451476753,2.6185120465947875
142,0.7673633287722131,7.2,5.8,1.9819480513236676,8.958343500164114,5.6108311692058,3.5750061000984688
143,1.3923198940277406,7.6,6.0,2.4710221518674,8.469505797755712,5.717386708879561,3.081703478653427
144,1.8909277066603196,7.6,5.8,2.5823285393617006,8.358238701415585,5.250602876382979,3.2149432208493507
145,1.9660434038777737,7.4,5.8,2.681405357618463,8.261795667461241,5.391156785428922,2.757077400476745
146,1.9187540083437988,7.2,5.0,2.698822841348497,8.246753685082412,5.180706295190902,3.2467536850824117
147,1.945540900441682,7.2,5.2,3.39692370050901,7.543944778808613,4.920615259898198,2.526366867285167
148,2.0258310486224613,7.0,5.6,3.912480043193361,7.023854166873551,4.617503991361327,1.4238541668735505
149,1.9082826350305766,6.4,6.0,3.4872451437371135,7.454248027326433,4.502550971252577,1.6725488163958602
150,2.014681849194465,6.6,6.0,3.9359671693583076,6.999484829631221,4.612806566128339,1.4001030340737557
151,2.2061466914889847,6.6,5.8,4.396533890797664,6.534244240975319,4.920693221840468,1.6931511518049362
152,2.2589060282809803,7.0,5.6,4.071076466617351,6.824560290924997,4.98578470667653,1.8350879418150008
153,1.9770240880793388,7.4,5.4,3.502842177146357,7.403211424015282,5.099431564570729,2.6419268544091694
154,1.623244081667568,7.2,5.8,2.9689237412838874,7.968678892575477,5.0186457552296675,2.981207335545286
155,1.6529525437619381,7.6,5.6,2.5446493327035,8.41314462431957,5.6732104003779,3.4478867745917414
156,2.214514808985736,8.0,5.4,3.837553109854661,7.087673112248889,5.297468134087204,2.452603867349334
157,2.094493987025023,8.4,4.8,4.4303408482197675,6.484351446379577,5.341795491068139,2.690610867827746
158,2.3172944263456223,8.4,5.0,4.096677378568041,6.787776130889997,5.541993572859175,3.0726656785339967
159,1.9261394458982355,8.4,4.8,3.479885539979141,7.413745941732794,5.912068676012516,3.6482475650396773
160,2.0653617957416093,7.8,5.2,3.898848172715269,6.978228330124194,5.420230365456947,2.9956456660248394
161,1.9353520336384467,8.2,5.4,3.4686163499130616,7.4302659697372295,5.718830190052164,3.058159581842337
162,1.8514038427008122,8.2,5.2,2.86677952327367,8.063511629643683,6.079932286035797,3.6381069777862094
163,1.8145728794036313,8.2,5.0,3.456311800471048,7.460488279104579,5.326212919717371,3.0762929674627486
164,2.450751657891497,8.2,4.8,3.5264091000830016,7.392539038758118,5.284154539950199,2.8355234232548696
165,2.1400229112369074,8.4,5.2,3.543975242956944,7.376686596725219,5.073614854225834,2.8260119580351306
