Turn,Entropy,Ghost X position,Ghost Y position,Estimated X,Estimated Y,X bias,Y bias
0,2.8609025213097152,8.0,10.0,3.344991424728805,7.38879995098328,4.655008575271195,2.6112000490167198
1,2.87745860406722,9.0,10.0,5.105860014734953,6.959240052243672,3.8941399852650473,3.040759947756328
2,2.536008394393515,10.0,10.0,5.650330095719637,6.513298666606279,4.349669904280363,3.4867013333937207
3,2.385078451673389,11.0,10.0,6.419135363785945,6.087498768845067,4.580864636214055,3.912501231154933
4,2.6137594427349207,10.0,10.0,5.908083661855237,6.4240953395407425,4.091916338144763,3.5759046604592575
5,1.900034259746802,11.0,10.0,7.473578547587785,5.563001467995163,3.5264214524122153,4.436998532004837
6,2.384272487352038,10.0,10.0,7.667717750718034,5.552747567439558,2.332282249281966,4.447252432560442
7,2.69584339505939,10.0,9.0,7.162146122679505,6.062441504887716,2.8378538773204953,2.9375584951122837
8,2.5712114079717128,11.0,9.0,7.097742150266894,6.248699544106365,3.9022578497331057,2.7513004558936354
9,2.759568013787387,10.0,9.0,7.011460453504426,6.115617619626786,2.9885395464955744,2.8843823803732143
10,2.4154167394370556,10.0,8.0,7.332627216411745,5.943567225876355,2.667372783588255,2.0564327741236452
11,2.549628529169112,10.0,9.0,6.250184734719121,6.240237200059021,3.749815265280879,2.7597627999409786
12,1.9945999490778483,11.0,9.0,6.876858249060047,5.871517622242545,4.123141750939953,3.1284823777574546
13,1.646939851966743,11.0,10.0,7.493695940802789,5.604516979959666,3.5063040591972108,4.395483020040334
14,2.002341881079868,11.0,9.0,7.9595022307854455,5.3388311291055555,3.0404977692145545,3.6611688708944445
15,1.0939142052810547,12.0,9.0,9.841311464320388,5.883676759746908,2.1586885356796124,3.1163232402530916
16,1.9363129621289064,12.0,10.0,8.949475690128457,5.684411520549215,3.050524309871543,4.315588479450785
17,1.536610501260948,13.0,10.0,9.85122395243873,5.979151845452621,3.1487760475612703,4.020848154547379
18,2.090250569034082,13.0,9.0,8.327717208852377,5.476247417374118,4.672282791147623,3.5237525826258818
19,1.6265257827599597,14.0,9.0,10.08038727066537,6.090608679168706,3.919612729334631,2.9093913208312943
20,1.267763449796731,15.0,9.0,11.320124734423263,6.324894330906482,3.6798752655767366,2.6751056690935178
21,1.5445515566498462,15.0,10.0,12.089703046344855,6.113057342523577,2.910296953655145,3.886942657476423
22,1.6969254305698747,16.0,10.0,12.90091249025905,6.046563867845118,3.0990875097409507,3.9534361321548817
23,2.155122090597843,15.0,10.0,12.142831850888433,6.220058574745685,2.8571681491115672,3.7799414252543153
24,2.0904625590009065,15.0,9.0,12.038910003242036,6.417883861047582,2.9610899967579645,2.5821161389524176
25,2.2110599213336406,16.0,9.0,13.564366531295272,5.814140066802138,2.4356334687047276,3.185859933197862
26,2.5555630788417854,17.0,9.0,14.122685137063858,5.503945499781775,2.8773148629361422,3.496054500218225
27,2.4112262542685263,18.0,9.0,14.030987418599,6.124504718934752,3.9690125814009996,2.8754952810652483
28,2.2678059195304567,19.0,9.0,14.965698039080156,5.896376538234671,4.034301960919844,3.103623461765329
29,1.6364433186953462,18.0,9.0,15.59727282502279,7.452724716967638,2.40272717497721,1.547275283032362
30,2.2005465656272993,18.0,8.0,15.893402347109637,7.265455048954136,2.106597652890363,0.7345449510458639
31,1.935872246742636,18.0,9.0,16.44306897073973,6.616111921489487,1.5569310292602694,2.3838880785105134
32,2.342721147756045,18.0,8.0,16.20771659641611,6.842993290593492,1.792283403583891,1.1570067094065077
33,2.154796905005748,18.0,7.0,16.472527141126303,6.081533778199133,1.527472858873697,0.918466221800867
34,1.58170840875483,18.0,8.0,16.748725675645634,5.739311539856723,1.251274324354366,2.2606884601432773
35,1.0496640333998706,18.0,7.0,18.428612545726857,6.493349973013487,0.4286125457268568,0.5066500269865131
36,1.8197463747551745,19.0,7.0,17.43124828477698,6.433250194913783,1.5687517152230193,0.566749805086217
37,2.2945882716670334,18.0,7.0,16.447744613778347,5.671048740201229,1.5522553862216526,1.328951259798771
